Order_ID,Customer_ID,Order_Date,Product_ID,Quantity,Discount,Shipping_Cost,Sales_Channel,Payment_Method,Order_Status,Region
ORD000001,CUST00877,2025-10-10,PROD0101,4,0.0,14.24,In-Store,UPI,Returned,North
ORD000002,CUST00646,2026-02-10,PROD0032,2,0.15,6.49,Mobile App,Credit Card,Delivered,East
ORD000003,CUST01672,2025-10-16,PROD0063,2,0.3,10.92,Online,Debit Card,Delivered,East
ORD000004,CUST00140,2026-07-02,PROD0122,2,0.3,14.84,Mobile App,Wallet,Cancelled,North
ORD000005,CUST01805,2025-08-16,PROD0048,2,0.0,1.83,Online,COD,Cancelled,West
ORD000006,CUST00976,2025-11-10,PROD0083,5,0.0,15.56,Mobile App,Wallet,Delivered,East
ORD000007,CUST00103,2026-01-28,PROD0050,5,0.0,24.53,In-Store,Wallet,Delivered,West
ORD000008,CUST01907,2025-09-17,PROD0009,4,0.15,4.75,Online,Debit Card,Delivered,North
ORD000009,CUST00522,2026-04-26,PROD0118,3,0.3,19.81,Mobile App,Wallet,Delivered,South
ORD000010,CUST00205,2026-03-06,PROD0017,2,0.0,22.7,Online,Credit Card,Pending,North
ORD000011,CUST01133,2026-03-29,PROD0054,5,0.15,23.59,Mobile App,Net Banking,Delivered,North
ORD000012,CUST01910,2026-02-18,PROD0029,4,0.0,24.0,Mobile App,Debit Card,Delivered,East
ORD000013,CUST00354,2026-06-21,PROD0023,5,0.0,13.04,Online,COD,Pending,East
ORD000014,CUST00593,2025-11-05,PROD0020,4,0.0,24.43,Online,Credit Card,Delivered,West
ORD000015,CUST00394,2026-06-13,PROD0117,3,0.2,18.93,Online,Wallet,Delivered,South
ORD000016,CUST01722,2025-10-12,PROD0067,3,0.0,4.04,In-Store,Net Banking,Delivered,East
ORD000017,CUST01258,2025-07-07,PROD0088,1,0.0,11.92,In-Store,Net Banking,Delivered,North
ORD000018,CUST01278,2026-05-10,PROD0090,3,0.25,17.96,Online,COD,Delivered,South
ORD000019,CUST00379,2025-09-20,PROD0058,5,0.2,6.18,In-Store,COD,Delivered,South
ORD000020,CUST00818,2025-09-20,PROD0045,5,0.2,16.02,Mobile App,Credit Card,Delivered,South
ORD000021,CUST00586,2025-07-15,PROD0015,5,0.0,16.67,Online,UPI,Returned,West
ORD000022,CUST00501,2025-10-20,PROD0060,5,0.2,4.07,Mobile App,Wallet,Cancelled,West
ORD000023,CUST00773,2025-09-27,PROD0010,6,0.0,14.13,In-Store,Wallet,Delivered,North
ORD000024,CUST00457,2026-05-27,PROD0084,3,0.05,19.29,Mobile App,Credit Card,Delivered,South
ORD000025,CUST00311,2026-06-26,PROD0013,1,0.0,12.47,Online,Credit Card,Delivered,East
ORD000026,CUST00892,2026-03-19,PROD0070,1,0.3,0.3,In-Store,Net Banking,Delivered,West
ORD000027,CUST00537,2025-11-30,PROD0072,1,0.0,0.23,Mobile App,Credit Card,Delivered,East
ORD000028,CUST01030,2026-07-20,PROD0118,-1,0.0,8.93,In-Store,COD,Delivered,West
ORD000029,CUST00578,2025-11-03,PROD0122,5,0.2,23.15,In-Store,Wallet,Delivered,North
ORD000030,CUST00289,2026-05-02,PROD0092,2,0.0,5.72,In-Store,Debit Card,Delivered,South
ORD000031,CUST00519,10-02-2025,PROD0069,6,0.1,15.86,Online,Credit Card,Delivered,West
ORD000032,CUST01767,2026-03-19,PROD0079,5,0.0,5.55,In-Store,Debit Card,Cancelled,West
ORD000033,CUST00330,2026-04-28,PROD0066,5,0.3,8.04,Mobile App,Debit Card,Delivered,North
ORD000034,CUST01527,2025-07-30,PROD0022,4,0.0,21.2,Mobile App,Credit Card,Delivered,East
ORD000035,CUST01788,2025-10-09,PROD0013,5,0.3,18.22,Online,UPI,Delivered,East
ORD000036,CUST01916,2025-09-30,PROD0046,5,0.3,2.38,Mobile App,Wallet,Delivered,West
ORD000037,CUST00816,2026-05-12,PROD0069,5,0.0,10.72,Mobile App,COD,Delivered,West
ORD000038,CUST01822,2026-07-23,PROD0027,2,0.0,0.73,Mobile App,Net Banking,Returned,South
ORD000039,CUST01301,2025-10-18,PROD0015,4,0.0,12.02,Mobile App,Net Banking,Returned,West
ORD000040,CUST01592,2025-09-29,PROD0014,1,0.3,16.56,Online,Credit Card,Delivered,South
ORD000041,CUST01740,2025-10-11,PROD0066,6,0.0,2.96,Mobile App,Debit Card,Delivered,South
ORD000042,CUST01451,2026-02-22,PROD0121,6,0.3,7.22,Mobile App,Wallet,Delivered,West
ORD000043,CUST00343,2026-03-10,PROD0001,6,0.15,9.95,Mobile App,Net Banking,Delivered,East
ORD000044,CUST00240,2025-11-04,PROD0059,5,0.25,22.99,Mobile App,Wallet,Delivered,West
ORD000045,CUST01019,2026-04-23,PROD0023,6,0.1,24.83,Mobile App,Wallet,Delivered,South
ORD000046,CUST01565,2026-06-25,PROD0022,3,0.2,1.12,Mobile App,UPI,Delivered,North
ORD000047,CUST01825,2025-09-09,PROD0122,2,0.3,19.03,Online,UPI,Delivered,East
ORD000048,CUST01187,2026-06-09,PROD0111,-1,0.1,9.29,Mobile App,Credit Card,Delivered,West
ORD000049,CUST00897,2025-09-12,PROD0074,4,0.1,9.81,Mobile App,COD,Delivered,North
ORD000050,CUST00721,2026-04-10,PROD0088,4,0.25,18.86,Mobile App,Net Banking,Delivered,East
ORD000051,CUST00231,2025-08-08,PROD0053,2,0.3,22.96,In-Store,Debit Card,Delivered,West
ORD000052,CUST00219,2026-03-23,PROD0049,3,0.3,23.77,In-Store,Net Banking,Delivered,East
ORD000053,CUST01794,2025-11-26,PROD0002,5,0.3,14.43,In-Store,Debit Card,Delivered,North
ORD000054,CUST01233,2025-09-22,PROD0116,4,0.2,8.93,Online,Credit Card,Cancelled,South
ORD000055,CUST00002,2025-11-16,PROD0072,3,0.0,19.69,Mobile App,Net Banking,Delivered,North
ORD000056,CUST01219,2025-12-16,PROD0095,6,0.3,6.28,In-Store,UPI,Cancelled,North
ORD000057,CUST01875,2026-04-10,PROD0002,2,0.25,14.1,Online,Credit Card,Delivered,East
ORD000058,CUST00036,2026-07-04,PROD0117,6,0.15,8.96,In-Store,COD,Delivered,East
ORD000059,CUST01167,2026-07-28,PROD0007,4,0.1,16.42,Mobile App,COD,Returned,North
ORD000060,CUST01293,2026-05-31,PROD0097,4,0.0,6.01,Online,COD,Delivered,North
ORD000061,CUST01220,2025-07-25,PROD0121,3,0.1,4.79,Online,COD,Delivered,East
ORD000062,CUST01926,2026-02-02,PROD0005,4,0.15,22.96,In-Store,Debit Card,Cancelled,South
ORD000063,CUST00281,2025-08-29,PROD0041,3,0.2,2.55,In-Store,Debit Card,Delivered,South
ORD000064,CUST00061,2025-09-02,PROD0034,3,0.1,12.65,In-Store,UPI,Delivered,West
ORD000065,CUST01231,2025-12-03,PROD0056,6,0.15,5.52,In-Store,Debit Card,Delivered,South
ORD000066,CUST00589,2026-03-31,PROD0043,1,0.0,0.97,Mobile App,UPI,Delivered,South
ORD000067,CUST01349,2026-06-25,PROD0024,5,0.05,0.9,Online,Credit Card,Returned,West
ORD000068,CUST00872,2025-10-30,PROD0099,6,0.25,4.38,In-Store,Net Banking,Delivered,South
ORD000069,CUST00351,2026-05-13,PROD0024,3,0.15,21.67,Mobile App,Wallet,Delivered,East
ORD000070,CUST00672,2025-09-10,PROD0063,3,0.0,7.06,In-Store,Net Banking,Delivered,North
ORD000071,CUST01228,2025-07-29,PROD0012,1,0.0,23.76,In-Store,COD,Delivered,East
ORD000072,CUST00610,2026-02-27,PROD0057,3,0.15,14.54,Mobile App,Wallet,Delivered,East
ORD000073,CUST01170,2025-08-27,PROD0059,4,0.1,10.92,Online,UPI,Delivered,South
ORD000074,CUST00256,2025-07-19,PROD0068,4,0.0,14.5,Online,COD,Delivered,North
ORD000075,CUST00077,2026-06-18,PROD0066,6,0.0,12.92,In-Store,Net Banking,Delivered,South
ORD000076,CUST00585,2026-04-12,PROD0106,2,0.25,18.97,Mobile App,COD,Delivered,North
ORD000077,CUST01354,2025-12-08,PROD0028,4,0.2,7.06,In-Store,Wallet,Delivered,North
ORD000078,CUST00572,2025-08-21,PROD0112,1,0.25,8.83,In-Store,COD,Delivered,West
ORD000079,CUST00134,2026-02-12,PROD0040,2,0.2,22.35,Online,Debit Card,Cancelled,South
ORD000080,CUST01856,2026-04-27,PROD0044,3,0.2,23.66,Online,Net Banking,Delivered,North
ORD000081,CUST00467,2026-06-19,PROD0074,1,0.3,22.31,Online,Net Banking,Returned,East
ORD000082,CUST00595,2025-09-22,PROD0116,1,0.2,10.49,In-Store,Debit Card,Delivered,West
ORD000083,CUST01924,2025-11-19,PROD0116,5,0.1,19.51,Mobile App,Net Banking,Delivered,East
