Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Cost,Selling_Price
PROD0001,Bright Owl Headphones Ball,ELECTRONICS,Headphones,Bright Owl,206.52,251.81
PROD0002,Urban Craft Laptops But,electronics,Laptops,Urban Craft,177.67,225.03
PROD0003,Coastal Cameras Tell,electronics,Cameras,Solstice,405.08,868.93
PROD0004,Kestrel Smart Watches Catch,ELECTRONICS,Smart Watches,TrueFit,40.8,87.84
PROD0005,Urban Craft Laptops Wind,electronics,Laptops,Prime,263.68,386.17
PROD0006,Zenith Cameras Adult,ELECTRONICS,Cameras,TrueFit,43.05,72.14
PROD0007,Coastal Cameras Media,Electronics,Cameras,TrueFit,398.29,753.74
PROD0008,Solstice Mobile Phones Happen,Electronic,Mobile Phones,TrueFit,29.86,36.62
PROD0009,Prime Mobile Phones Forget,electronics,Mobile Phones,Glowmax,204.42,298.46
PROD0010,Nova Mobile Phones Rock,Electronic,Mobile Phones,Urban Craft,120.03,173.45
PROD0011,Coastal Cameras Him,electronics,Cameras,Bright Owl,402.72,856.06
PROD0012,Vantage Smart Watches Chair,electronics,Smart Watches,Nova,205.53,431.9
PROD0013,Vantage Cameras Technology,Electronic,Cameras,Everline,164.14,270.87
PROD0014,TrueFit Smart Watches Letter,Electronic,Smart Watches,Prime,116.88,213.01
PROD0015,Urban Craft Headphones Voice,ELECTRONICS,Headphones,Urban Craft,489.6,873.28
PROD0016,Urban Craft Women's Wear Picture,Clothing,Women's Wear,Urban Craft,182.12,333.32
PROD0017,Everline Men's Wear Necessary,Apparel,Men's Wear,Everline,65.85,137.17
PROD0018,Vantage Women's Wear Source,Apparel,Women's Wear,Solstice,254.03,411.99
PROD0019,Bright Owl Women's Wear Guess,Apparel,Women's Wear,Bright Owl,295.0,532.78
PROD0020,Glowmax Women's Wear Consider,clothing,Women's Wear,Zenith,40.53,75.66
PROD0021,Kestrel Footwear Security,Apparel,Footwear,Prime,124.76,237.0
PROD0022,Prime Kids Wear Fly,clothing,Kids Wear,Bright Owl,412.15,821.89
PROD0023,Nova Footwear Air,Clothing,Footwear,Bright Owl,278.49,472.37
PROD0024,Glowmax Men's Wear Size,clothing,Men's Wear,Bright Owl,75.72,148.72
PROD0025,Zenith Footwear Teacher,Clothing,Footwear,TrueFit,139.35,232.93
PROD0026,Everline Kids Wear By,Apparel,Kids Wear,Nova,145.72,188.05
PROD0027,Nova Kids Wear Doctor,Apparel,Kids Wear,Prime,316.63,382.19
PROD0028,Zenith Footwear Career,Apparel,Footwear,Coastal,375.58,557.16
PROD0029,Solstice Kids Wear Tough,Clothing,Kids Wear,Vantage,5.07,8.55
PROD0030,Nova Footwear Rule,clothing,Footwear,Kestrel,28.19,40.59
PROD0031,Kestrel Decor Change,Home & Kitchen,Decor,Kestrel,354.95,431.56
PROD0032,Bright Owl Decor Rise,Home & Kitchen,Decor,Bright Owl,420.47,485.23
PROD0033,Vantage Cookware Dream,Home and Kitchen,Cookware,Everline,127.18,245.2
PROD0034,Kestrel Cookware Food,home & kitchen,Cookware,Kestrel,161.55,203.07
PROD0035,Bright Owl Appliances Car,home & kitchen,Appliances,Nova,183.32,262.86
PROD0036,Solstice Appliances Determine,Home & Kitchen,Appliances,Kestrel,422.14,624.35
PROD0037,Urban Craft Appliances Case,Home and Kitchen,Appliances,Zenith,395.52,825.24
PROD0038,Zenith Appliances Bar,Home & Kitchen,Appliances,Everline,219.74,462.65
PROD0039,Bright Owl Furniture Large,Home & Kitchen,Furniture,Zenith,191.77,414.66
PROD0040,TrueFit Cookware Rock,home & kitchen,Cookware,Nova,49.2,92.07
PROD0041,Urban Craft Furniture Source,Home & Kitchen,Furniture,Everline,249.44,388.39
PROD0042,Prime Cookware Step,home & kitchen,Cookware,Vantage,318.19,601.08
PROD0043,Glowmax Appliances Brother,home & kitchen,Appliances,TrueFit,7.16,9.49
PROD0044,Coastal Appliances Bank,home & kitchen,Appliances,TrueFit,357.96,662.12
PROD0045,TrueFit Furniture After,Home and Kitchen,Furniture,TrueFit,483.19,941.78
PROD0046,Urban Craft Furniture Stage,home & kitchen,Furniture,Urban Craft,475.63,897.83
PROD0047,Zenith Appliances Member,home & kitchen,Appliances,TrueFit,152.54,192.3
PROD0048,Coastal Decor Sometimes,home & kitchen,Decor,Solstice,392.0,715.93
