Return_ID,Order_ID,Return_Date,Return_Reason,Return_Status
RET00001,ORD000001,2025-10-17,Better Price Found,Approved
RET00002,ORD000021,2025-07-26,Wrong Item Delivered,Approved
RET00003,ORD000038,2026-07-29,Defective Product,Rejected
RET00004,ORD000039,2025-10-29,Defective Product,Rejected
RET00005,ORD000059,2026-08-02,Better Price Found,Processing
RET00006,ORD000067,2026-06-30,Better Price Found,Processing
RET00007,ORD000081,2026-06-21,Changed Mind,Approved
RET00008,ORD000089,2026-04-27,Not as Described,Rejected
RET00009,ORD000095,2025-07-27,Size Issue,Approved
RET00010,ORD000105,2026-02-06,Size Issue,Processing
RET00011,ORD000136,2025-10-24,Better Price Found,Rejected
RET00012,ORD000142,2025-11-16,Not as Described,Rejected
RET00013,ORD000153,2025-10-19,Better Price Found,Approved
RET00014,ORD000169,2025-12-10,Wrong Item Delivered,Approved
RET00015,ORD000203,2026-04-29,Defective Product,Approved
RET00016,ORD000223,2026-06-29,Defective Product,Processing
RET00017,ORD000230,2025-09-03,Better Price Found,Rejected
RET00018,ORD000250,2025-10-15,Wrong Item Delivered,Rejected
RET00019,ORD000261,2025-11-26,Defective Product,Approved
RET00020,ORD000271,2026-06-28,Changed Mind,Processing
RET00021,ORD000272,2025-07-24,Not as Described,Processing
RET00022,ORD000273,2026-03-14,Better Price Found,Approved
RET00023,ORD000285,2026-04-22,Changed Mind,Rejected
RET00024,ORD000288,2025-12-19,Late Delivery,Processing
RET00025,ORD000309,2026-02-27,Defective Product,Approved
RET00026,ORD000316,2026-03-07,Size Issue,Rejected
RET00027,ORD000325,2025-09-17,Wrong Item Delivered,Processing
RET00028,ORD000334,2026-07-17,Not as Described,Processing
RET00029,ORD000344,2025-09-20,Not as Described,Approved
RET00030,ORD000348,2025-08-08,Late Delivery,Processing
RET00031,ORD000355,2026-01-30,Changed Mind,Approved
RET00032,ORD000382,2026-06-29,Wrong Item Delivered,Rejected
RET00033,ORD000387,2026-06-19,Not as Described,Approved
RET00034,ORD000407,2025-10-04,Size Issue,Rejected
RET00035,ORD000471,2026-01-07,Defective Product,Processing
RET00036,ORD000473,2026-07-09,Late Delivery,Processing
RET00037,ORD000495,2026-01-23,Wrong Item Delivered,Processing
RET00038,ORD000536,2026-03-16,Wrong Item Delivered,Rejected
RET00039,ORD000569,2025-09-07,Not as Described,Rejected
RET00040,ORD000588,2026-07-16,Changed Mind,Approved
RET00041,ORD000712,2026-03-18,Size Issue,Approved
RET00042,ORD000714,2026-06-29,Changed Mind,Approved
RET00043,ORD000727,2025-07-25,Late Delivery,Approved
RET00044,ORD000736,2025-11-29,Not as Described,Processing
RET00045,ORD000749,2026-04-06,Late Delivery,Processing
RET00046,ORD000750,2026-06-26,Size Issue,Approved
RET00047,ORD000767,2025-12-19,Late Delivery,Rejected
RET00048,ORD000775,2026-05-08,Late Delivery,Approved
RET00049,ORD000780,2026-04-04,Size Issue,Rejected
RET00050,ORD000786,2026-02-03,Defective Product,Processing
RET00051,ORD000816,2025-07-26,Changed Mind,Processing
RET00052,ORD000820,2025-11-13,Defective Product,Approved
RET00053,ORD000826,2026-06-28,Size Issue,Rejected
RET00054,ORD000835,2025-09-18,Not as Described,Rejected
RET00055,ORD000841,,Better Price Found,Processing
RET00056,ORD000851,2026-03-03,Not as Described,Approved
RET00057,ORD000854,2026-04-05,Not as Described,Processing
RET00058,ORD000855,2025-08-05,Late Delivery,Rejected
RET00059,ORD000858,2025-09-10,Late Delivery,Rejected
RET00060,ORD000859,2025-10-24,Changed Mind,Processing
RET00061,ORD000861,2026-07-12,Changed Mind,Processing
RET00062,ORD000866,2025-08-04,Late Delivery,Processing
RET00063,ORD000874,2025-08-24,Changed Mind,Rejected
RET00064,ORD000881,2026-05-08,Size Issue,Approved
RET00065,ORD000887,2026-02-06,Better Price Found,Rejected
RET00066,ORD000888,2026-08-08,Better Price Found,Approved
RET00067,ORD000897,2025-09-17,Better Price Found,Processing
RET00068,ORD000898,2025-12-06,Late Delivery,Processing
RET00069,ORD000911,2026-01-30,Late Delivery,Processing
RET00070,ORD000913,2025-12-12,Wrong Item Delivered,Rejected
RET00071,ORD000923,2026-02-18,Size Issue,Rejected
RET00072,ORD000934,2026-02-21,Changed Mind,Rejected
RET00073,ORD000942,2025-11-21,Wrong Item Delivered,Processing
RET00074,ORD000952,2025-10-26,Late Delivery,Rejected
RET00075,ORD000974,2026-04-27,Changed Mind,Rejected
RET00076,ORD000981,2025-09-02,Late Delivery,Rejected
RET00077,ORD000997,2025-09-27,Size Issue,Rejected
RET00078,ORD001011,2025-08-23,Size Issue,Rejected
RET00079,ORD001020,2026-05-02,Wrong Item Delivered,Approved
RET00080,ORD001036,2026-01-04,Better Price Found,Rejected
RET00081,ORD001040,2025-10-21,Wrong Item Delivered,Rejected
RET00082,ORD001075,2026-08-05,Defective Product,Approved
RET00083,ORD001079,2026-06-16,Better Price Found,Rejected
RET00084,ORD001083,2025-12-29,Late Delivery,Approved
RET00085,ORD001084,2026-04-30,Defective Product,Rejected
RET00086,ORD001095,2025-12-22,Not as Described,Approved
RET00087,ORD001108,2025-11-11,Size Issue,Rejected
RET00088,ORD001117,2025-12-30,Changed Mind,Rejected
RET00089,ORD001118,2026-06-19,Better Price Found,Processing
RET00090,ORD001126,2025-12-30,Defective Product,Processing
RET00091,ORD001127,2025-09-22,Better Price Found,Approved
